ligand,receptor,pathway,function,mean_score,max_score,total_score,n_interactions,pct_edges,causal_score,inverse_importance
CCL2,MMP14,ligand,functional,0.24322144777447197,39.53119013182684,19748.365452048252,81195,78.90057138414895,0.42377442146384703,0.5180554389953613
MMP14,MMP2,ecm_regulator,functional,0.4542166330104723,26.2572578595054,26096.108216350665,57453,55.82947875772535,0.7913997414066553,0.5180554389953613
JAK2,STAT3,cell_adhesion,functional,0.2164903253088761,38.337065590974426,15581.025202805122,71971,69.93722548295564,0.37719972148738345,0.5180554389953613
TNFRSF1A,RIPK3,ligand,functional,0.11272210184247344,38.87391187757871,8415.606679355382,74658,72.54829556497066,0.1964002103086599,0.5180554389953613
CD28,CD86,cell_surface_ligand,functional,0.004766152041265236,92.80727095072963,486.1427420570128,101999,99.1166867493295,0.008304256645033837,0.5180554389953613
CD86,CD28,cell_surface_ligand,functional,0.004766152041265235,92.80727095072963,486.14274205701275,101999,99.1166867493295,0.008304256645033835,0.5180554389953613
JAK2,GHR,cell_adhesion,functional,0.07035737509944479,100.0,6678.814546064996,94927,92.24452909394799,0.12258645855989138,0.5180554389953613
GHR,JAK2,ligand,functional,0.07035737509944479,100.0,6678.814546064996,94927,92.24452909394799,0.12258645855989138,0.5180554389953613
LYN,NEDD9,cell_adhesion,functional,0.10701070367873686,51.95269420060195,9435.775807576301,88176,85.68430054028842,0.18644901367393124,0.5180554389953613
LYN,BTK,cell_adhesion,functional,0.01805396072337386,86.99216958968665,1784.5979095840594,98848,96.05472849535508,0.03145613526555855,0.5180554389953613
BTK,LYN,cell_adhesion,functional,0.018053960723373858,86.99216958968665,1784.5979095840592,98848,96.05472849535508,0.031456135265558544,0.5180554389953613
TXN,ESR1,ecm,functional,0.061241875238642426,40.001102760391504,4512.423851333651,73682,71.59987561705601,0.10670415987607133,0.5180554389953613
TXN,NR3C1,ecm,functional,0.3854643482987351,26.441462887972122,26573.1412430182,68938,66.9899327554709,0.6716098957962875,0.5180554389953613
IGFBP4,ESR1,ecm,functional,0.08647406101567358,28.895421286529782,4213.189200805648,48722,47.34520153923893,0.15066720272352854,0.5180554389953613
MMP14,PTK7,ecm_regulator,functional,0.05590210703745325,65.38915961049892,5123.87532683889,91658,89.06790531348389,0.09740046893550826,0.5180554389953613
JAG1,NOTCH3,ligand,functional,0.4709652018843544,27.375394091939704,30539.738516190962,64845,63.01259377307886,0.8205814404295888,0.5180554389953613
NOTCH3,JAG1,cell_surface_ligand,functional,0.4709652018843544,27.375394091939704,30539.738516190962,64845,63.01259377307886,0.8205814404295888,0.5180554389953613
NOTCH3,JAG2,cell_surface_ligand,functional,0.4340269157083775,25.531078189901784,28196.124552079036,64964,63.12823104131846,0.7562223923385445,0.5180554389953613
JAG2,NOTCH3,ligand,functional,0.4340269157083774,25.531078189901784,28196.124552079033,64964,63.12823104131846,0.7562223923385444,0.5180554389953613
JAK2,TNFRSF1A,cell_adhesion,functional,0.2150872381376233,41.091166581970796,15748.042314722365,73217,71.14801570334667,0.3747550667922418,0.5180554389953613
CD28,PIK3R2,cell_surface_ligand,functional,0.028223227612924524,80.37573026101698,2746.571618379363,97316,94.56602013448907,0.04917445423891967,0.5180554389953613
BTK,TLR8,cell_adhesion,functional,0.002488677581906296,0.002488677581906296,254.51456762397498,102269,99.37905702180588,0.0043361221312205305,0.5180554389953613
